Name,Kind
新玉198,BREED
欣玉100,BREED
现玉534,BREED
吾玉966,BREED
伟科979,BREED
伟科939,BREED
伟科811,BREED
天源818,BREED
天时527,BREED
天时522,BREED
硕育99,BREED
胜美538,BREED
圣吉丰288,BREED
神农美玉88,BREED
神单368,BREED
儒研818,BREED
荣丰901,BREED
人和529,BREED
人和523,BREED
荃玉985,BREED
荃科785,BREED
荃科782,BREED
荃金玉1号,BREED
乾垄6053,BREED
泊玉69,BREED
鹏玉9号,BREED
农研203,BREED
农大388,BREED
农大373,BREED
农丞100,BREED
名鼎26,BREED
垄翔985,BREED
蠡玉196,BREED
黎玉88,BREED
浚黎908,BREED
新农26,BREED
菊城1383,BREED
京农科858,BREED
京农科235,BREED
京科688,BREED
京科511,BREED
京科265,BREED
京科247,BREED
京科246,BREED
京科241,BREED
京科239,BREED
京科232,BREED
京丰231,BREED
京丰229,BREED
京科227,BREED
金玉77,BREED
金玉198,BREED
金苹果688,BREED
金丰捷903,BREED
佳汇和688,BREED
纪元888,BREED
机玉665,BREED
徽玉988,BREED
鸿运99,BREED
泓丰918,BREED
衡玉868,BREED
衡玉7182,BREED
豪玉128,BREED
贯宝9538,BREED
甘玉331,BREED
甘鑫216,BREED
登海鲁西208,BREED
登海W388,BREED
地利537,BREED
地利533,BREED
德弘999,BREED
德发778,BREED
德单207,BREED
大美536,BREED
大美535,BREED
存玉30,BREED
创玉569,BREED
创玉411,BREED
博麟68,BREED
必祥699,BREED
必祥623,BREED
棒博士58,BREED
NK805,BREED
H1975,BREED
郑科506,BREED
中农大689,BREED
中农大185,BREED
中农大178,BREED
中垦玉669,BREED
中金玉198,BREED
郑单5179,BREED
豫单806,BREED
先玉1972,BREED
利合1089,BREED
金来705,BREED
富英77,BREED
泛玉777,BREED
登海W365,BREED
大华1870,BREED
ZB1201,BREED
YD807,BREED
宏硕2008,BREED
LN16,BREED
利合988,BREED
利合1077,BREED
京科679,BREED
LPB681,BREED
京农玉997,BREED
京科256,BREED
京科255,BREED
京科254,BREED
京科253,BREED
MC869,BREED
鑫玉农510,BREED
现代544,BREED
现代542,BREED
京科610,BREED
高玉99,BREED
禾田203,BREED
鑫玉农703,BREED
鑫玉农701,BREED
现代579,BREED
现代558,BREED
先亚2028,BREED
万达71,BREED
天成美玉7号,BREED
腾玉8220,BREED
荃研2001,BREED
荃科787,BREED
秋实1055,BREED
平安1910,BREED
铭硕2062,BREED
明天696,BREED
六颗星551,BREED
辽单5206,BREED
辽单109,BREED
辽单108,BREED
立原26,BREED
京科598,BREED
京科269,BREED
京科268,BREED
金园36,BREED
金象7201,BREED
葫新826,BREED
吉云玉589,BREED
吉云玉568,BREED
吉单509,BREED
众盈306,BREED
众盈201,BREED
甘优365,BREED
福盛209,BREED
德科981,BREED
华龙916,BREED
丹农玉788,BREED
丹农玉167,BREED
NK211,BREED
MC868,BREED
GFY2378,BREED
G88,BREED
G838,BREED
中科联玉205,BREED
中科东玉203,BREED
宇鑫816,BREED
中邦301,BREED
新玉158,BREED
先玉2056,BREED
苏玉44,BREED
辽科604,BREED
吉云玉919,BREED
吉农玉1898,BREED
吉农大2088,BREED
G388,BREED
中科兴828,BREED
中科联玉207,BREED
正大339,BREED
正大3310,BREED
宇玉971,BREED
鑫玉农605,BREED
鑫玉农603,BREED
鑫玉农601,BREED
五瑞1512,BREED
铁3118,BREED
天瑞2201,BREED
世强198,BREED
世强196,BREED
润民7188,BREED
瑞昱80,BREED
荃研2003,BREED
荃研2002,BREED
沁单1989,BREED
农单920,BREED
年久337,BREED
明凤709,BREED
龙科玉103,BREED
六颗星598,BREED
粮原1949,BREED
乐盈7020,BREED
乐盈635,BREED
壳盛5066,BREED
九单281,BREED
京科275,BREED
锦润018,BREED
锦润009,BREED
稼禾187,BREED
吉云玉517,BREED
吉新112,BREED
吉农玉99,BREED
吉农大65,BREED
吉单71,BREED
吉大320,BREED
吉川985,BREED
吉川951,BREED
黄锦185,BREED
华盛192,BREED
宏育808,BREED
宏兴8899,BREED
宏恺638,BREED
禾田202,BREED
国瑞506,BREED
富民309,BREED
富民308,BREED
迪锋101,BREED
德美禾117,BREED
丹农玉789,BREED
博泰142,BREED
博纳143,BREED
YF1969,BREED
YF1959,BREED
XF2061,BREED
HG208,BREED
HF1068,BREED
H3126,BREED
DK808,BREED
AB1413,BREED
众盈19,BREED
中良1号,BREED
LG787,BREED
陕单650,BREED
京科271,BREED
黑农玉6,BREED
丹玉818,BREED
丹农玉631,BREED
MC806,BREED
长城209,BREED
雅玉397,BREED
中科东玉201,BREED
强玉999,BREED
云化9号,BREED
宇鑫186,BREED
兴科5,BREED
兴科3,BREED
鑫玉农507,BREED
鑫玉农503,BREED
鑫天农809,BREED
天农53,BREED
天达669,BREED
天成美玉2号,BREED
天成美玉1号,BREED
腾玉2148,BREED
松玉131,BREED
瑞兴406,BREED
庆单23,BREED
畦创1号,BREED
绿泽119,BREED
绿泽117,BREED
龙科玉332,BREED
良玉2301,BREED
连禾318,BREED
粒隆218,BREED
利华518,BREED
坤瑞806,BREED
坤瑞255,BREED
科育2028,BREED
吉云玉508,BREED
吉云玉506,BREED
吉农玉506,BREED
吉农大535,BREED
吉程216,BREED
宏育506,BREED
恒丰219,BREED
禾田204,BREED
禾田201,BREED
航研8083,BREED
航研1126,BREED
海科玉4,BREED
海科玉3,BREED
广宇902,BREED
广宇616,BREED
高华6699,BREED
方玉406,BREED
登海W1505,BREED
存玉35,BREED
仓禾201,BREED
必祥236,BREED
NZ100,BREED
H0110,BREED
G1888,BREED
D657,BREED
C919,BREED
c1573,BREED
A1468,BREED
中硕699,BREED
中泰206,BREED
奥洋红917,BREED
兴科2,BREED
沃尔1号,BREED
天源201,BREED
美农359,BREED
利合1039,BREED
科沃9912,BREED
金岭327,BREED
金辉132,BREED
吉农玉100,BREED
吉耐尔9119,BREED
吉耐尔508,BREED
吉程187,BREED
合玉2616,BREED
豪威587,BREED
海科玉2,BREED
海科玉1,BREED
国瑞105,BREED
伽蓝169,BREED
大有2118,BREED
大易3008,BREED
创玉820,BREED
必祥103,BREED
北育998,BREED
D1806,BREED
AB548,BREED
众城588,BREED
研锋612,BREED
鑫满仓988,BREED
先玉1908,BREED
天源696,BREED
天达1101,BREED
拓玉158,BREED
沛育17,BREED
米单9号,BREED
绿泽G20,BREED
龙科玉732,BREED
利华1988,BREED
利合1026,BREED
金岭317,BREED
吉耐尔6518,BREED
华庆单8466,BREED
华庆单270,BREED
超科883,BREED
博泰112,BREED
北育186,BREED
中合209,BREED
鑫科玉5号,BREED
稷秾4,BREED
935HA,BREED
瑞禾白糯80,BREED
农科玉328,BREED
斯达糯60,BREED
BM492,BREED
京双甜382,BREED
BM4192,BREED
圣甜1365,BREED
华耐甜玉27号,BREED
北农486,BREED
MC838,BREED
京科995,BREED
佳农861,BREED
澳甜糯75,BREED
润糯622,BREED
鑫瑞25,BREED
先玉1873,BREED
众帮119,BREED
冀糯175,BREED
品甜823,BREED
品糯836,BREED
甜糯紫6,BREED
耘甜60,BREED
万糯2019,BREED
万糯198,BREED
石彩甜糯6,BREED
秦玉388,BREED
华春588,BREED
葫新505,BREED
葫新639,BREED
宏恺518,BREED
葫新605,BREED
乾润988,BREED
秦良666,BREED
强硕90,BREED
渤单142,BREED
渤单988,BREED
民沣玉1818,BREED
沽玉998,BREED
宏恺706,BREED
葫新909,BREED
宏恺818,BREED
凯元830,BREED
纪元128,BREED
富粮116,BREED
极峰803,BREED
100TL,BREED
沃玉111,BREED
龙华329,BREED
浚单1718,BREED
邯玉金环九号,BREED
蠡玉112,BREED
兆育88,BREED
蠡昊5号,BREED
蠡单158,BREED
伟科985,BREED
蠡玉219,BREED
蠡玉177,BREED
蠡玉217,BREED
蠡玉206,BREED
源育179,BREED
源育308,BREED
蠡单67,BREED
蠡玉216,BREED
艾玉222,BREED
大良7号,BREED
永协728,BREED
永协115,BREED
粒隆969,BREED
冀农802,BREED
龙翔88,BREED
伟科988,BREED
金瑞58,BREED
美抗3,BREED
粟丰938,BREED
民泰1号,BREED
兆育619,BREED
美抗909,BREED
兆育11,BREED
兆育616,BREED
金亿农909,BREED
农耘66,BREED
佳汇和977,BREED
泊玉66,BREED
宏硕5A79,BREED
宏硕988,BREED
宏硕969,BREED
宏硕金605,BREED
宏硕635,BREED
宁泰88,BREED
龙信100,BREED
188T,BREED
石玉12号,BREED
沧农199,BREED
衡玉1702,BREED
冀玉604,BREED
玉丹成S98,BREED
国人福818,BREED
伟科908,BREED
农艺179,BREED
万丰31号,BREED
万丰39号,BREED
嘉科18,BREED
秋硕845,BREED
道吉155,BREED
中单011,BREED
农艺1号,BREED
大地901,BREED
来玉768,BREED
农艺178,BREED
航研9088,BREED
东单1971,BREED
金玉677,BREED
粮源818,BREED
泰合897,BREED
金丰捷608,BREED
源丰751,BREED
源丰978,BREED
宁泰789,BREED
奥科大198,BREED
丰苑508,BREED
达育6168,BREED
慧玉313,BREED
森玉99,BREED
天成66,BREED
天成705,BREED
天成615,BREED
乾育18,BREED
洪雨9号,BREED
联美876,BREED
先优78,BREED
先优1号,BREED
联美玉8号TC,BREED
秋乐107,BREED
国欣199,BREED
承禾586,BREED
三北725,BREED
承玉48,BREED
天宁518,BREED
金世1620,BREED
奔诚11,BREED
先达7038,BREED
宽诚805,BREED
先玉1820,BREED
张单228,BREED
邢青4号,BREED
邢单S14-5002,BREED
利合966,BREED
秋硕707,BREED
大玉618,BREED
龙华598,BREED
大地708,BREED
冠虎107,BREED
冀玉911,BREED
RM678,BREED
先玉1872,BREED
福瞾88,BREED
深科109,BREED
蠡玉65,BREED
金种子716,BREED
红利988,BREED
锦华175,BREED
农本313,BREED
天弘99,BREED
乾育25,BREED
金科玉3306,BREED
DF909,BREED
诚信193,BREED
诚信197,BREED
龙生7702,BREED
沁丰206,BREED
中北510,BREED
沃锋518,BREED
农玉66,BREED
金穗3606,BREED
恒玉1228,BREED
潞玉1698,BREED
长玉908,BREED
晋超甜2号,BREED
炎甜玉7号,BREED
炎黑甜156,BREED
品黑糯482,BREED
双惠彩糯2号,BREED
晋黑糯1号,BREED
晋彩糯3号,BREED
晋糯12,BREED
晋彩糯2号,BREED
白糯99,BREED
盛糯白1号,BREED
天禾D66,BREED
临玉30,BREED
力源716,BREED
郑单7137,BREED
德育丰696,BREED
晋锋26,BREED
龙生802,BREED
GD1908,BREED
长单926,BREED
锋玉168,BREED
金穗618,BREED
赛博169,BREED
金农919,BREED
潞玉1955,BREED
威卡1169,BREED
潞玉1820,BREED
新科一号,BREED
德瑞3号,BREED
太育11号,BREED
潞玉1830,BREED
民玉46,BREED
美禾1号,BREED
必奥602,BREED
龙生319,BREED
恒玉116,BREED
恒玉36,BREED
祁玉369,BREED
恒玉1号,BREED
常丰179,BREED
睿德667,BREED
科美亚8号,BREED
必奥1312,BREED
龙生318,BREED
黄金玉16,BREED
大槐88,BREED
机玉318,BREED
晋博玉181,BREED
晋鹏玉985,BREED
晋鹏玉505,BREED
盈玉196,BREED
晋博玉172,BREED
登海LN229,BREED
DK717,BREED
科丰128,BREED
龙生618,BREED
科丰5号,BREED
金穗86,BREED
润民369,BREED
强盛372,BREED
先普1318,BREED
浩育2号,BREED
沁丰876,BREED
睿德233,BREED
强盛370,BREED
巍德709,BREED
潞玉1818,BREED
沁丰12,BREED
龙生88,BREED
乐迪97,BREED
金牛1号,BREED
兴辉667,BREED
德育丰919,BREED
冠百567,BREED
威卡1159,BREED
中科瑞505,BREED
并单1702,BREED
科华367,BREED
君实615,BREED
章玉18,BREED
龙生909,BREED
金穗599,BREED
HC858,BREED
并单1605,BREED
HS533,BREED
DF286,BREED
中博1号,BREED
科华365,BREED
恒玉109,BREED
鑫丰盛9898,BREED
华单136,BREED
沃单77,BREED
长玉906,BREED
鑫源99,BREED
科兴318,BREED
三联259,BREED
晋阳588,BREED
三联399,BREED
先丰9号,BREED
潞单818,BREED
日茂2号,BREED
君实211,BREED
鑫丰盛9906,BREED
先丰211,BREED
鑫丰盛9909,BREED
云誉1号,BREED
万禾9号,BREED
中博303,BREED
鑫瑞普985,BREED
A1819,BREED
丰茂99,BREED
太玉369,BREED
青卓369,BREED
中博4号,BREED
科早玉16,BREED
尧玉656,BREED
A1568,BREED
蝶爆240,BREED
球爆54830,BREED
CZ1091,BREED
CZ11912,BREED
CZ3947,BREED
彩甜糯188,BREED
晶甜668,BREED
吉农糯77,BREED
BM419,BREED
兴丰178,BREED
迎丰7号,BREED
蠡单62,BREED
辰诺302,BREED
庆禾12,BREED
西蒙799,BREED
吉美玉908,BREED
种星118,BREED
DF908,BREED
九圣禾256,BREED
K玉788,BREED
宏博367,BREED
强源518,BREED
中北134,BREED
DF1569,BREED
晟科玉568,BREED
晟单822,BREED
晟科288,BREED
欣玉305,BREED
宏兰天16号,BREED
宏博369,BREED
黄玉1802,BREED
GD1907,BREED
聚鑫1号,BREED
金科808,BREED
鑫达116,BREED
鑫达118,BREED
鑫育228,BREED
DF617,BREED
榜玉829,BREED
金K988,BREED
满世通161,BREED
中辽2号,BREED
M1919,BREED
现代987,BREED
爱琪6688,BREED
内单901,BREED
禾平111,BREED
松研1,BREED
农华1233,BREED
辰诺512,BREED
天利禾889,BREED
益农6号,BREED
垦玉101,BREED
蒙龙207,BREED
YF1898,BREED
宇鑫706,BREED
现代988,BREED
大奥7000,BREED
MN182,BREED
DN4018,BREED
DF5053,BREED
庆禾568,BREED
松科1669,BREED
禾平602,BREED
粮丰1号,BREED
增信299,BREED
金田711,BREED
金粮8,BREED
金粮5,BREED
宇丰516,BREED
宇丰99,BREED
西蒙1898,BREED
玉龙602,BREED
宏博692,BREED
天农26,BREED
JLY366,BREED
E301,BREED
兰翔5号,BREED
DN5002,BREED
DF736,BREED
M5005,BREED
M3509,BREED
天翊5,BREED
北优866,BREED
梅亚1603,BREED
稷秾105,BREED
锋玉19,BREED
先达308,BREED
景琪4009,BREED
金棒V77,BREED
雷单3号,BREED
大地711,BREED
玉龙802,BREED
玉龙801,BREED
M1830,BREED
九园338,BREED
沛玉336,BREED
丰垦159,BREED
SK802,BREED
禾为贵187,BREED
九玉66,BREED
瑞玉920,BREED
辰诺301,BREED
润玉3089,BREED
美莎克209,BREED
金丰106,BREED
锋玉18,BREED
MC801,BREED
景琪3035,BREED
蒙龙504,BREED
兴丰58,BREED
丰州802,BREED
丰州801,BREED
丰州171,BREED
博裕702,BREED
先玉1809,BREED
赤早345,BREED
梅亚1601,BREED
九玉88,BREED
丰垦189,BREED
育丰2001,BREED
呼单1779,BREED
兴农6,BREED
Z1585,BREED
利禾211,BREED
自新2号,BREED
锋玉8,BREED
裕久99,BREED
兴丰1559,BREED
聚鑫2号,BREED
先玉1816,BREED
迪卡1811,BREED
田缘216,BREED
兴田9,BREED
齐丰117,BREED
辰诺101,BREED
兴丰6,BREED
利合819,BREED
先玉1818,BREED
九莲灯2,BREED
罕玉33,BREED
丰玉26,BREED
佳粮0987,BREED
科饲18号,BREED
赤饲102,BREED
JK518,BREED
禾玉9566,BREED
富友987,BREED
东科301,BREED
东单904,BREED
丰平9501,BREED
润嘉288,BREED
P589,BREED
C501,BREED
宏硕728,BREED
辽单1908,BREED
天农69,BREED
好乐303,BREED
博丰669,BREED
沈海799,BREED
圣德912,BREED
葫新919,BREED
北玉9955,BREED
荃研198,BREED
沈海919,BREED
北玉677,BREED
庄禾1号,BREED
好乐399,BREED
连禾8,BREED
连禾10,BREED
葫玉303,BREED
吉耐尔18,BREED
DM601,BREED
禾壮669,BREED
葫玉168,BREED
葫玉998,BREED
中泰737,BREED
展茂001,BREED
圣吉丰1661,BREED
好乐318,BREED
吉耐尔803,BREED
WF810,BREED
JF823,BREED
聚单D68,BREED
HF605,BREED
华单2019,BREED
华单266,BREED
X1733,BREED
盛新826,BREED
浩育999,BREED
崇利218,BREED
H1818,BREED
赢美1889,BREED
T1902,BREED
钟海868,BREED
Q1155,BREED
耕玉211,BREED
Q518,BREED
熙研1号,BREED
赢美888,BREED
Q558,BREED
耕玉985,BREED
富谷A8,BREED
熙园109,BREED
钟海801,BREED
Q3009,BREED
先亚987,BREED
DG1909,BREED
F98,BREED
T808,BREED
鑫东玉518,BREED
AB889,BREED
VK518,BREED
秋喜918,BREED
熙园1908,BREED
美卓999,BREED
润嘉298,BREED
千松1507,BREED
五福809,BREED
农易828,BREED
DG1603,BREED
A985,BREED
先亚983,BREED
雅玉1804,BREED
雅玉637,BREED
立中8号,BREED
怡耀555,BREED
万育808,BREED
晟科玉328,BREED
万达56,BREED
美联867,BREED
怡耀9901,BREED
元隆89,BREED
金岛9,BREED
乾坤105,BREED
乾坤117,BREED
明玉775,BREED
乾坤1804,BREED
兴业409,BREED
金岛186,BREED
元隆202,BREED
兴业606,BREED
KH106,BREED
QK1813,BREED
元隆1804,BREED
L1066,BREED
弘粮1号,BREED
沐玉808,BREED
铭青799,BREED
Q988,BREED
硕达799,BREED
隆田609,BREED
营吉象888,BREED
禾盛昌5578,BREED
御天6号,BREED
硕达777,BREED
A618,BREED
丹研V9,BREED
雷奥1892,BREED
兴农808,BREED
V857,BREED
A33,BREED
铭硕1902,BREED
兰乔3019,BREED
丰乐美123,BREED
先玉1828,BREED
致泰27号,BREED
先玉1720,BREED
东萌608,BREED
先玉1950,BREED
铁旭901,BREED
先玉1952,BREED
东萌605,BREED
致泰1901,BREED
祥盛3000,BREED
金禾111,BREED
丰乐826,BREED
法帝8,BREED
嘉隆2000,BREED
FD208,BREED
福玉108,BREED
A668,BREED
H966,BREED
H998,BREED
鑫农禾1899,BREED
鑫金地928,BREED
金禾987,BREED
紫丰518,BREED
鑫农禾1139,BREED
大奥180,BREED
力禾199,BREED
大智173,BREED
ZX191,BREED
力禾668,BREED
天农36,BREED
天农29,BREED
龙雨909,BREED
聚粮985,BREED
金育431,BREED
宏硕833,BREED
良科2000,BREED
强沅V68,BREED
辽单517,BREED
辽单1811,BREED
辽单203,BREED
辽单5801,BREED
铁研188,BREED
富谷739,BREED
宏硕L9,BREED
铁1616,BREED
金育433,BREED
丹垦730,BREED
金育499,BREED
L678,BREED
锦青303,BREED
盛单570,BREED
东裕128,BREED
宇鑫8861,BREED
怡耀299,BREED
丹玉668,BREED
东裕208,BREED
H712,BREED
辽科666,BREED
龙雨99,BREED
优迪769,BREED
金诚玉802,BREED
L1099,BREED
新丹801,BREED
丹科9919,BREED
沈农T117,BREED
FSZW31,BREED
良玉DF26,BREED
良玉199,BREED
美佳禾538,BREED
HX001,BREED
GF718,BREED
H1111,BREED
银河66,BREED
金育479,BREED
联达218,BREED
金育477,BREED
沈农T116,BREED
宇地升98,BREED
易安119,BREED
JF198,BREED
宏硕758,BREED
V1688,BREED
东裕555,BREED
誉盛兴776,BREED
美佳禾658,BREED
坤瑞258,BREED
美佳禾511,BREED
DF708,BREED
F318,BREED
天固718,BREED
宏途835,BREED
Z908,BREED
世宾1903,BREED
美玉919,BREED
Z813,BREED
Z818,BREED
GS717,BREED
Z708,BREED
美玉918,BREED
Z901,BREED
618K,BREED
179K,BREED
金世988,BREED
1908D,BREED
1907D,BREED
辽单266,BREED
辽单5203,BREED
辽单535,BREED
辽单5201,BREED
A6118,BREED
铁研828,BREED
T1623,BREED
宇禾329,BREED
铁研929,BREED
T641,BREED
翔禾1号,BREED
辽单5303,BREED
W1919,BREED
公单118,BREED
K515,BREED
东沃20,BREED
登海1912,BREED
TM678,BREED
HJ11,BREED
DL4949,BREED
F9001,BREED
铁甜601,BREED
瑞禾早糯,BREED
圣园黄糯9号,BREED
辽糯3号,BREED
新糯3000,BREED
紫香花糯8号,BREED
沈糯17号,BREED
沈甜8号,BREED
HX006,BREED
L189,BREED
铁3109,BREED
EF1988,BREED
G902,BREED
九玉禾582,BREED
郁青265,BREED
699X,BREED
辽单2811,BREED
沐玉718,BREED
辽盛禾198,BREED
禾盛昌889,BREED
亿辰699,BREED
禹盛217,BREED
禹盛568,BREED
鑫荣F188,BREED
天玉102,BREED
祥成266,BREED
中熙191,BREED
安华809,BREED
安华159,BREED
先育2号,BREED
美育89,BREED
美单103,BREED
吉程919,BREED
T1536,BREED
禾单11,BREED
吉第859,BREED
欧美189,BREED
天龙华玉919,BREED
美玉1号,BREED
美单306,BREED
先育339,BREED
美育509,BREED
先育399,BREED
正高98,BREED
吉程218,BREED
崇利8218,BREED
宝诚178,BREED
H901,BREED
X919,BREED
诚单316,BREED
富育168,BREED
先丰3号,BREED
龙雨555,BREED
LZ019,BREED
原玉91,BREED
瑞兴18,BREED
丰九禾717,BREED
先丰909,BREED
诚泽丰303,BREED
黎早102,BREED
富泰178,BREED
瑞兴588,BREED
哈丰31,BREED
先丰168,BREED
先丰188,BREED
继美3,BREED
新玉667,BREED
吉科玉818,BREED
佳态17,BREED
新玉669,BREED
瑞昱9,BREED
吉科玉918,BREED
吉科玉189,BREED
鸿瑞290,BREED
松玉979,BREED
金园37,BREED
金园22,BREED
亨达636,BREED
亨达418,BREED
亨达918,BREED
道吉195,BREED
天沃007,BREED
亨达588,BREED
好乐268,BREED
绿育9969,BREED
金合908,BREED
丰旭55,BREED
春华88,BREED
吉宇925,BREED
金粮56,BREED
金粮88,BREED
神农272,BREED
金粮58,BREED
金粮16,BREED
丰旭69,BREED
绿育9968,BREED
金粮57,BREED
乐盛808,BREED
恒泽108,BREED
恒泽106,BREED
梨玉857,BREED
DSF007,BREED
梨玉868,BREED
鑫科88,BREED
吉川198,BREED
福田8,BREED
DSF017,BREED
德黑8225,BREED
黑蒙1225,BREED
DY357,BREED
中邦1号,BREED
梨玉201,BREED
中邦9号,BREED
CD11,BREED
德黑8209,BREED
中邦4号,BREED
鸿基968,BREED
鸿泰188,BREED
鸿泰199,BREED
金骏178,BREED
鸿越2号,BREED
鸿基927,BREED
瑞秋307,BREED
金航995,BREED
通单189,BREED
春秋218,BREED
瑞秋303,BREED
吉农玉1902,BREED
春秋219,BREED
通单218,BREED
九单186,BREED
宏育78,BREED
福莱130,BREED
伊邦6号,BREED
瑞秋308,BREED
吉农玉628,BREED
吉农大689,BREED
YS328,BREED
吉农大358,BREED
金航912,BREED
福莱125,BREED
KC58,BREED
吉农玉198,BREED
吉农玉788,BREED
吉农大355,BREED
吉农大831,BREED
吉农大635,BREED
瑞秋309,BREED
吉农玉588,BREED
伊邦917,BREED
九单191,BREED
福莱121,BREED
福江191,BREED
春秋221,BREED
瑞秋306,BREED
宏兴909,BREED
吉农玉798,BREED
源诚696,BREED
D908,BREED
D805,BREED
D309,BREED
凤田2019,BREED
凤田801,BREED
凤田305,BREED
岭单78,BREED
D507,BREED
ST1819,BREED
HY867,BREED
军锋37,BREED
福秋18,BREED
恒宇66,BREED
原单139,BREED
禾乐197,BREED
军锋38,BREED
D901,BREED
邦玉833,BREED
吉田906,BREED
原单112,BREED
原单716,BREED
D802,BREED
米单7号,BREED
超科60,BREED
泽玉912,BREED
宏信528,BREED
宏信520,BREED
禾育179,BREED
禾育176,BREED
吉东651,BREED
吉单427,BREED
吉单62,BREED
羽羊89,BREED
吉单426,BREED
吉单593,BREED
DK339,BREED
翔旺9,BREED
吉单616,BREED
优迪871,BREED
松玉905,BREED
松玉901,BREED
吉单508,BREED
吉单418,BREED
润民89,BREED
辽玉9005,BREED
辽玉9004,BREED
松玉638,BREED
吉东78,BREED
辽玉1604,BREED
吉单626,BREED
蝶爆2916,BREED
球爆12935,BREED
丰爆103,BREED
丰爆101,BREED
吉农大糯612,BREED
绿育黄粘521,BREED
吉农糯15号,BREED
松糯9号,BREED
吉农糯119,BREED
玲诺688,BREED
玲诺788,BREED
吉糯32,BREED
双悦糯2,BREED
双悦糯1,BREED
旗阳697,BREED
吉单63,BREED
吉农大607,BREED
金产58,BREED
先玉1839,BREED
吉大117,BREED
丰驰V8,BREED
长单301,BREED
奇玉806,BREED
辽科605,BREED
金粒9959,BREED
吉禹349,BREED
凤田25,BREED
华育998,BREED
天育859,BREED
宏信16,BREED
润民1718,BREED
吉单37,BREED
兴辉908,BREED
润民1809,BREED
吉禹619,BREED
稷秾48,BREED
军锋98,BREED
德禹341,BREED
辽科602,BREED
吉农大405,BREED
F2817,BREED
红禾821,BREED
垦吉824,BREED
垦吉515,BREED
垦吉528,BREED
垦吉717,BREED
东农279,BREED
HM3399,BREED
中正176,BREED
和冠33号,BREED
龙塔1108,BREED
华龙11号,BREED
南北10,BREED
克玉22,BREED
沃普911,BREED
WP612,BREED
鹏诚357,BREED
龙塔2136,BREED
SY1605,BREED
龙单172,BREED
中正167,BREED
禾兴玉401,BREED
天丰585,BREED
博纳688S,BREED
鹏玉12,BREED
齐禾401,BREED
丰禾739,BREED
丰禾876,BREED
龙单170,BREED
合玉123,BREED
鹏诚377,BREED
鹏诚117,BREED
天丰55,BREED
牡玉307,BREED
安育83,BREED
南北9号,BREED
丰禾13,BREED
宾玉26号,BREED
巴玉26,BREED
龙塔2598,BREED
德耕189,BREED
德禄168,BREED
德育729,BREED
惠育318,BREED
镜泊湖绿单10号,BREED
嫩单37,BREED
泽露27,BREED
绥玉48,BREED
先玉1955,BREED
东青5号,BREED
美珍209,BREED
美珍207,BREED
圣甜5590,BREED
金糯128,BREED
金牛2号,BREED
金牛3号,BREED
奉美佳66,BREED
奉美佳70,BREED
克粘845,BREED
垦甜糯18A,BREED
绥糯1,BREED
绥糯3,BREED
NF1606,BREED
瑞福尔11,BREED
锋玉12,BREED
边单10号,BREED
恒誉118,BREED
龙育62,BREED
龙辐玉24,BREED
龙单138,BREED
边单9号,BREED
龙单101,BREED
傲单5,BREED
先玉1785,BREED
龙育82,BREED
合玉148,BREED
浩富4号,BREED
中邦8848,BREED
龙单130,BREED
申科爆8号,BREED
申科爆7号,BREED
脆白甜926,BREED
和甜双色,BREED
白美人,BREED
玉香金,BREED
申雪甜1号,BREED
申科甜糯99,BREED
农科甜1805,BREED
苏玉紫糯706,BREED
苏科糯1705,BREED
彩甜糯818,BREED
红花玉景,BREED
徐甜糯019,BREED
白甜糯209,BREED
萃甜糯516,BREED
虞珑糯1612,BREED
苏蔬甜糯918,BREED
苏科糯1702,BREED
连彩糯1607,BREED
天玉1619,BREED
大华1802,BREED
江玉272,BREED
苏科玉1704,BREED
苏科玉206,BREED
连单761,BREED
苏科玉010,BREED
淮玉1606,BREED
苏科玉208,BREED
大华1801,BREED
神玉3号,BREED
淮玉1420,BREED
红旗968,BREED
陇硕218,BREED
苏科玉1602,BREED
苏科玉1707,BREED
瑞华玉701,BREED
大华1601,BREED
大华1533,BREED
苏玉172,BREED
中江玉1701,BREED
大华1623,BREED
浙科糯8号,BREED
浙糯玉18,BREED
艾米歌甜5号,BREED
科甜4号,BREED
浙甜20,BREED
富尔森甜糯八号,BREED
彩甜糯1703,BREED
彩甜糯1701,BREED
东糯88,BREED
YS6873,BREED
凤糯211,BREED
华安玉5号,BREED
宿单507,BREED
安农573,BREED
天益青88,BREED
真金66,BREED
荃玉2000,BREED
TH3366,BREED
欣隆Y183,BREED
安农576,BREED
思优谷5号,BREED
绿玉1104,BREED
弘大11,BREED
新创568,BREED
华安玉2号,BREED
蜀鑫玉228,BREED
金海719,BREED
金桥8号,BREED
垦丁一号,BREED
瑞华玉三号,BREED
皖垦152,BREED
ND367,BREED
滑玉618,BREED
谷神玉6号,BREED
QK161,BREED
梦玉701,BREED
丰乐307,BREED
伟科902,BREED
隆平629,BREED
亚玉2号,BREED
淮玉17,BREED
伟科812,BREED
丰大602,BREED
新丹007,BREED
中杂916,BREED
烟玉604,BREED
烟玉601,BREED
齐玉138,BREED
鲁研178,BREED
金鹭甜一号,BREED
SC1336,BREED
白甜833,BREED
闽双甜7号,BREED
雪甜232,BREED
晶煌161,BREED
鲜玉甜7号,BREED
闽甜986,BREED
焦点糯517,BREED
申红甜糯1号,BREED
