sentence,relation,head,head_offset,tail,tail_offset
"﻿为了解决玉米育种中产量试验的精确性低、一致性差等问题,并找到一个较好的组合筛选方法,本研究分析了玉米杂交种在不同环境下的产量表现能力,尝试将生产力、竞争力和补偿力进行分别估计,并研究了三者与其他性状之间的关系。",表现,玉米杂交种,49,补偿力,79
"因此,在玉米抗旱育种中,通过主成分分析筛选指标,并结合模糊函数法和聚类分析法进行综合评价,是抗旱性鉴定较为可行的、有效的方法。",方法,抗旱,6,主成分分析,14
对糯玉米的品质性状的构成和评价、品质性状的研究进展进行了综述。,表现,糯玉米,1,品质性状,5
"结果表明,建立的玉米植株茎叶分割算法,具有处理速度快、易于理解等优点,为玉米等植物表型分析与育种等提供支持。",表现,玉米植株茎叶分割算法,8,易于理解,27
﻿研究了密度对耐密性不同的3个玉米品种主要农艺性状的影响。,表现,玉米品种,15,农艺性状,21
"综上,5601Q籽粒发育缺陷是由Bt2基因的突变导致,本研究为解析玉米Bt2基因在胚乳储藏物质积累中的作用机制提供了新的种质资源。",调控,Bt2,16,籽粒发育缺陷,8
"针对CA193和CA749产量低、穗行数少的缺点,遴选出2个组合CA193×PHT47和CA749×2MCDB,可作为基础群体用于自交系选育。",表现,CA193,2,穗行数少,17
"Zm OPR5相对表达量与H2O2含量、MDA含量、Cd2+转移系数和Cd2+含量均呈高度正相关关系,在Cd耐性自交系B73根系中与上述性状的相关系数分别为0.778、0.879、0.893和0.822,已达显著或极显著水平,由此表明Zm OPR5可能参与了玉米由Cd胁迫引发的抗氧化胁迫反应过程。",影响,Cd胁迫,132,Zm OPR5,0
基因型和秸秆还田量互作显著影响花前营养器官的干物质转运量(DMR)和转运率(DMRE)、花前干物质转运对籽粒干物质积累贡献率(DMRCG)、花后干物质积累量(DMAA)及其对籽粒干物质积累贡献率(DMAACG)。,表现,花前营养器官,15,对籽粒干物质积累贡献率(DMAACG),86
"因此,在玉米抗旱育种中,通过主成分分析筛选指标,并结合模糊函数法和聚类分析法进行综合评价,是抗旱性鉴定较为可行的、有效的方法。",方法,抗旱,6,模糊函数法,27
"﻿试验以2个CIMMYT热带群体Pob25和Pool26为基础材料,以丹340、掖478及其杂交种F1(掖单13)为测验种,采用三重测交(TTC)设计,对两群体各性状进行了基因效应分析,在两群体中均发现了部分性状存在显著的上位性效应,并提出了各类上位性分量的可能利用途径,为两群体的遗传改良打下了基础。",表现,掖单13,52,性状,81
"结果表明,供试种质材料在产量、千粒质量、穗粒数、穗长、穗位高等方面都表现出丰富的遗传多样性,各性状间存在不同的相关性;抽雄期和成熟期对供试种质材料的千粒质量、穗粒数和产量均有不同程度影响。",表现,种质材料,7,产量,12
"在4.08bin区间存在着控制穗粗或穗行数的重要基因,而该基因位于umc2135-bnlg292b标记区间。",调控,基因,24,穗行数,18
"测交试验表明,亲本闽4779、青2配合力高,性状互补性强,配成的闽青青贮1号高产、优质、适应性广、稳产性好,生物产量平均57532.5kg.hm-2,于2011年3月通过福建省农作物品种审定委员会审定。",表现,闽青青贮1号,32,高产,38
"在耐盐碱试验中,在胁迫20d、30d、40d时丹988-BADH红-1、丹988-BADH红-2各项耐盐碱指标数值普遍高于对照,且大部分存在显著性差异;丹988-BADH红-4在胁迫20d时部分耐盐碱指标低于对照,胁迫30d、40d时高于对照但未出现显著性差异。",单位,胁迫,9,d,13
"结果表明,磷胁迫下,自交系双M9和苏11APase活性分别较全磷处理高40.7%(p<0.01)和31.86%(p<0.01);双M9株高、茎粗、穗位高、雄穗长、雄穗分枝数和叶面积显著高于全磷处理,苏11茎粗、雄穗长、雄穗分枝数和叶面积显著高于全磷处理;双M9穗长、穗粗、行粒数、穗粒重、穗轴重和百粒重显著高于全磷处理,苏11穗行数、行粒数、穗粒重、穗重和穗长显著高于全磷处理;APase活性与株高、雄穗分枝数、穗位高和百粒重中度正相关。",表现,双M9,13,雄穗长,77
0410×1155单穗粒重和百粒重的遗传符合多基因遗传模型;穗粗的遗传符合1对主基因+多基因遗传模型;穗秃尖的遗传符合2对主基因+多基因遗传模型。,表现,0410,0,百粒重,14
"各系各性状的GCA和SCA表现出明显的差异;单株穗粒重的GCA以孤雌生殖系405最高(25.19%);被测7个性状中,出籽率主要由加性基因效应控制,株高、穗位高、穗长、单株穗粒重有加性、显性基因效应,百粒重和行粒数2个性状,除探测到了加性、显性基因效应外,还获得有上位性基因效应存在的证据;供试的P1组各系相对与P2组的各系,在各性状上都有较多的显性基因。",表现,单株穗,22,GCA,6
"﻿对在2个环境条件下220个普×爆BC2S1家系4个籽粒营养品质性状及其与膨化倍数的相关分析结果表明,除粗蛋白含量的环境间差异不显著外,各性状家系间和环境间均存在显著差异;粗蛋白含量和粗脂肪含量是由主效基因存在的多基因控制的数量性状,粗淀粉含量和赖氨酸含量是由微效多基因控制的数量性状;各籽粒营养品质性状与膨化倍数的关系受环境条件的影响较大。",调控,主效基因存在的多基因,99,粗蛋白含量,52
"﻿应用NCⅡ交配设计,研究分析了四川省1991和2001年优质蛋白玉米9个农艺性状的遗传参数。",方法,农艺性状,37,遗传参数,42
"其中,黄粒CML285表现特优,适应广西气候,产量高,一般配合力高;白粒CML268也表现很好,产量高,穗部性状遗传力高。",表现,黄粒CML285,3,一般配合力高,27
"突变体第1代穗柄明显增长,结实双穗,第2代长穗柄性状消失,双穗性状保持,第3代双穗性状保持,株高发生分化。",表现,第3代,36,双穗性状保持,29
结果表明:株高、穗位高、叶片数、穗长、行粒数、单株产量、2粒宽、容重8个性状的一般配合力(GCA)、特殊配合力(SCA)方差极显著。,方法,穗长,16,一般配合力(GCA),39
"结果表明,100份甜玉米种质资源种子性状具有丰富的遗传多样性,性状变异幅度比较大,其中粒长为4.65~10.43mm,粒宽为5.13~9.42mm,粒厚为2.04~7.50mm,百粒质量为4.51~20.09g;表型变异分析发现,百粒质量的变异系数最大,为32.60%,粒宽的变异系数最小,为10.61%,且4个籽粒性状的频率分布曲线基本符合正态分布。",单位,粒厚,74,mm,56
﻿吉853自交系是玉米黄早四最成功的改良系之一。具有配合力高、综合农艺性状好和适应性广的特点。,表现,吉853自交系,1,适应性广,40
"﻿以引进的20个加拿大玉米群体为材料,对其主要性状及玉米丝黑穗病抗性进行评价。",表现,加拿大玉米群体,8,性状,23
"﻿以8个典型玉米自交系及其组配的28个双列杂交组合为试验材料,对玉米植株穗部性状配合力进行研究。",表现,玉米植株,32,穗部性状,36
"﻿基于SSR聚类分析,对从不同玉米类群中筛选到的46份有突出优良性状的河南地方品种进行精细的表型重复鉴定,分析了抽雄天数、吐丝天数、株高、穗位、主茎叶片数、雄穗一级分枝数、穗长、穗粗、穗行数、千粒重、穗粒重、粒长、粒宽及粒厚14个数量性状的变异情况,株型、穗型、粒型、花药颜色、花丝颜色、粒色及轴色7个质量性状的变异情况。",表现,地方品种,37,数量性状,115
"结果表明,新选育自交系17Q372和17Q253可以提高杂交组合产量、1618和17Q619能使杂交组合株高和穗位高降低、17Q372和17Q116能提高杂交种的出籽率、17Q260-3和17Q253有助于提高籽粒长度;组合1628×‘郑58’在穗长、行粒数、出籽率上SCA效应值最大,具有高产潜力;通过对21个自交系的11个性状进行遗传参数分析,得出在育种工作中株高、穗位高、雄穗分枝数、秃尖长、穗行数和出籽率等6个性状宜进行早代选择,穗长、行粒数和单株产量等3个性状宜进行晚代选择。",表现,1628×‘郑58’,112,具有高产潜力,143
"结果表明,测验系莫宜糯综合性状表现较好,尤其是在增加产量、穗行数及降低秃尖长度等方面有明显的作用;测验系天等糯在缩短生育期及增加株高、穗位高、穗长等方面有明显的作用;被测系JNF20-K、黄C都糯、N9大多数性状表现相对较好;鲜食糯玉米组合莫宜糯×JNF20-K是一个杂种优势强且其他各方面性状都优良的组合;天等糯×JNF20-K的综合性状表现最差,可利用价值不高;大多数农艺性状主要受加性基因效应影响,株高主要受非加性基因效应影响;糯玉米自交系选育时穗位高、穗长、穗粗、行粒数、小区产量等可以在早代选择,而出苗至吐丝天数、茎粗、穗行数、秃尖长度、籽粒深度最好在晚代选择。",表现,天等糯×JNF20-K,154,可利用价值不高,175
"﻿本文运用灰色系统理论关联度分析法综合评价了20个玉米杂交种,该方法避免了以往品种试验中单独以产量为标准进行品种评估的局限性,而对株高、穗位高、叶面积、抽雄期、穗长、穗粗、穗行数、行粒数、百粒重、出籽率等重要农艺性状和产量等共11个性状共同进行量化处理,以得到较完整系统的试验信息,对试验品种做出更加科学的评价。",表现,玉米杂交种,25,产量,47
"通过对20个不同基因型材料的单倍体诱导结果表明,单倍体诱导率介于5.50%~15.94%,平均单倍体诱导率为10.40%,是Stock6的10倍;子粒Navajo标记性状明显、稳定,花粉量大、结实性好、抗病性强,是优良的单倍体诱导系。",表现,Stock6,62,单倍体诱导,14
"﻿按Griffing双列杂交方法Ⅳ对9个优质蛋白玉米(QPM)骨干自交系进行组配,将获得的36个杂交组合在云南省的昆明、保山、德宏3种不同生态条件下进行鉴定,对自交系的单株产量、株高、穗位高、穗长、穗粗、穗行数、行粒数、千粒重和胚乳硬度进行配合力分析和遗传参数估算。",方法,穗粗,99,遗传参数估算,126
"通过2018-2019年两年联合体区域试验和生产试验及布点试验,该品种展现了良好的丰产性和适应性,其具备综合农艺性状优异,品质优良,抗大斑病、丝黑穗病,较抗倒伏,果穗中长且均匀、封顶性好,稳产性好,适应性较强等特性。",表现,品种,33,丰产性,41
"﻿利用近红外漫反射光谱法,对滇东南101个玉米自交系的粗脂肪(CF)、粗蛋白(CP)、粗淀粉(CS)3个品质性状进行了分析评价,以了解自交系内在品质情况,并探讨品质性状间的关系。",表现,玉米自交系,21,品质性状,52
"湘康玉2号综合性状优良,品质优,全籽粒含蛋白质10.15%;产量高,2007~2008年参加湖南省杂交玉米区试,平均产量7851.0kg/hm2,比CK临奥1号增产9.60%;抗病,抗性鉴定高抗大叶斑病、抗小叶斑病、高抗茎腐病、中抗纹枯病;株型半紧凑,抗倒伏、抗倒折。",表现,湘康玉2号,0,产量高,30
"﻿铁C8605-2是当前我国玉米育种工作中被广泛应用的主要玉米自交系之一,为培育高产优质多抗杂交种做出了巨大贡献。它具有配合力高、抗逆性强、适应性广、综合农艺性状好的突出特点,因而被广泛应用,以它为亲本组配的玉米杂交种,产量高,稳产性好,适应性广;抗倒性、抗病性强,推广面积大,品种生命周期长。",表现,铁C8605-2,1,配合力高,61
"山区组合产量构成与产量间的相关系数除秃尖长外,均为正值;只有株高和秃尖长对产量的直接通径系数为负数,穗行数和行粒数对产量的直接通径系数为正值且较大,分别达0.61061和0.55560。",方法,直接通径系数,40,株高,30
"﻿以7份具有不同雄穗性状的玉米自交系为材料,采用Griffing方法4的双列杂交,估算了玉米雄穗主轴长度、分枝数、平均分枝长度、小穗着生密度和每穗小穗数5个性状的一般配合力、特殊配合力和相应的遗传参数,并进行了性状间一般配合力相关分析。",方法,每穗小穗数,71,特殊配合力,87
"﻿通过对高赖氨酸玉米和普通玉米各8个早熟自交系,按Greffing4组配成28个杂交组合的研究,发现高赖氨酸玉米在生长发育进程中,特别是在苗期,表现为苗小、苗弱、株高、穗位高明显降低。",表现,苗期,69,穗位高,84
"﻿本研究以植株外部形态差异较大的4个玉米自交系为材料,分别组成两个F1、F2、B1、B2和相应的P1、P26个世代,研究了7个株型性状的遗传表达特点。",表现,玉米自交系,18,株型性状,63
"﻿沈151是沈阳市农业科学院新选育的优良玉米自交系,它具有自身产量高、综合抗性强、农艺性状优良、一般配合力高等优点,2003年已申请国家品种保护。",表现,沈151,1,农艺性状优良,41
"从性状遗传力看,单株粒重、穗粗、穗行数少与百粒重等性状主要由基因的加性效应所控制,而穗长基因中非加性效应占有一定的比重。",方法,穗粗,13,性状遗传力,1
"各系各性状的GCA和SCA表现出明显的差异;单株穗粒重的GCA以孤雌生殖系405最高(25.19%);被测7个性状中,出籽率主要由加性基因效应控制,株高、穗位高、穗长、单株穗粒重有加性、显性基因效应,百粒重和行粒数2个性状,除探测到了加性、显性基因效应外,还获得有上位性基因效应存在的证据;供试的P1组各系相对与P2组的各系,在各性状上都有较多的显性基因。",表现,孤雌生殖系405,32,GCA,6
"结果表明,辽盛禾198、先玉1725、周玉1、九玉禾582、S919、河泉42、铁3109、盈育866的丰产性和稳定性,效应值均为正值,产量均高于对照,说明这8个品种丰产性、稳定性、适应性较好,可在辽宁地区进行示范推广;S198、SKW77、丹玉852为预测品种,在各试点性状表现不稳定。",表现,8个品种,79,稳定性,56
"﻿应用灰色关联度分析方法,对四川省玉米杂交种主要农艺性状间(生育期、株高、穗位高、除倒伏、穗长、穗行数、行粒数、百粒重、出籽率、单穗粒重)的相关性进行了分析。",表现,玉米杂交种,17,出籽率,60
"结果表明,218份玉米材料间存在较大的差异,变异系数为6.37%~87.60%,平均变异系数为19.44%;每株穗粗(r=0.5217)、行粒数(r=0.4367)、穗长(r=0.4053)与单株产量呈极显著正相关,穗行数(r=0.3759)、千粒重(r=0.3586)与单株产量呈显著正相关,秃尖长(r=-0.0200)与单株产量呈负相关;通过聚类分析,将所有供试材料划分为四大类群,第Ⅰ大类主要以中晚熟组材料为主,株高高,果穗粗,行粒数多,单株产量高;第Ⅱ大类主要以生育期长为主,千粒重较重,单株产量较高;第Ⅲ大类主要是中熟材料,茎秆细,秃尖小,穗轴细;第Ⅳ大类主要为早熟材料。",影响,秃尖长,147,单株产量,96
﻿浙凤糯5号(03SN-70×ZCN-203)系浙江省农业科学院作物与核技术利用研究所和浙江勿忘农种业股份有限公司合作选育而成的中早熟、优质、高产鲜食和加工兼用型甜糯玉米新组合。,表现,甜糯玉米新组合,81,高产鲜食,71
"﻿基于SAS分析软件,同时采用P1、P2、F1、F2、B1、B26个世代和混合模型,系统研究了玉米雌穗扁平性状的遗传特性及与其他穗粒性状的相互关系,估算了包括1对基因加性-显性模型等在内的23个模型的爱氏信息准则(AIC)值和极大似然函数值,并对AIC值最小的模型进行了混合模型参数估计。",表现,玉米,47,雌穗扁平性状,49
"﻿选择两个微胚乳超高油玉米组合0410×1155和0417×1025,通过P1、F1、P2、B1、B2和F26个世代联合分析法,研究分析了几个产量性状的遗传规律。",方法,产量性状,71,世代联合分析法,56
"结果表明:1)任一性状QTL的定位频率在染色体上的不同区域内是不同的,存在着若干""热点区域""。",调控,染色体,20,性状,9
"研究表明,玉米种质对矮花叶病的抗性,多数表现为主基因控制的质量-数量性状抗性,抗病基因表现为显性或者部分显性作用,基因间的作用以加性效应为主,杂种一代抗性趋于抗性亲本。",表现,杂种一代,71,抗性,15
"广西鲜食糯玉米品种选育,要加强对薄皮性状和抗性材料的选择,特别是抗倒、耐寒、耐热、耐涝、耐旱的优质的新品种。",表现,抗性材料,21,优质,47
"﻿以482×5003的166个F2:3家系作为定位群体,采用13×13α简单格子方设计,在成都、雅安分别调查了株高、穗位高、穗长、秃尖长、穗行数、行粒数、穗粗、轴粗、粒深、300粒重、出籽率、小区产量等12个经济性状,采用区间作图法对其进行QTL定位分析,共检测出59个QTL,每个性状检测出3~8个QTL,单个QTL的作用可解释表型变异的84%~422%,每一性状的QTL可解释表型变异的195%~709%。",方法,300粒重,86,QTL定位分析,120
"结果表明,我国地方种质四平头和旅大红骨茎秆性状表型变异丰富;灌浆期玉米茎秆含水量比较稳定;玉米植株高度与茎节长度显著相关;玉米雌、雄穗节之间的节间数比较恒定;玉米茎秆含糖量与茎节长度、茎粗、果穗着生位置有关;有效降低穗位高度应从降低果穗着生节入手;类群茎秆特征鲜明:兰卡斯特茎节较少,瑞德茎秆较粗,PB茎秆较细,旅大红骨茎秆较粗、茎节较短,四平头植株较矮、茎秆含糖量较低、干物质含量较低;兰卡斯特×四平头和兰卡斯特×PB类群间存在较强的生物量及籽粒产量杂种优势;挖掘和利用茎节较长、穗位较低的玉米地方种质是我国宜机收玉米育种的技术途径。",表现,旅大红骨,15,灌浆期玉米茎秆含水量,30
"其中,黄粒CML285表现特优,适应广西气候,产量高,一般配合力高;白粒CML268也表现很好,产量高,穗部性状遗传力高。",表现,黄粒CML285,3,产量高,23
"共检出21个QTL,其中茎粗检测到1个位点(qSD1),穗位高、株高均检测到3个QTL位点(qEH1-qEH3、qPH1-qPH3),雄穗分枝数检测到5个QTL位点(qTBN1-qTBN5),叶片数检测到4个QTL位点(qLN1-qLN4),叶型系数检测到3个QTL位点(qLSC1-qLSC3),叶向值检测到2个QTL位点(qLOV1-qLOV2)。",调控,qLOV1-qLOV2,163,叶向值,149
"﻿以玉米杂交种豫玉22的父母本综3和87-1构建的294个玉米F9:10家系为材料,通过北京上庄(2006年)和昌平(2007年)两年随机区组田间试验和分子标记分析,研究了玉米子粒体积和比重两个重要产量性状的遗传变异。",方法,随机区组田间试验,67,比重,93
"分析联创808在国家区域试验和生产试验中的产量表现及其农艺性状、抗倒性、耐密性、子粒品质和青贮的饲用品质,根据联创808的表现与选育过程的体会,对玉米商业育种的相关问题进行较为深入的探讨,特别是关于优点叠加育种法、杂种优势群划分的理解与利用、杂优模式的梳理总结等问题。",表现,联创808,2,子粒品质,40
"在N-条件下,拔节期至喇叭口期、开花期至灌浆期分别定位了1和5个条件QTL,可分别解释该时期株高动态变异的9.14%和50.98%;在N+条件下,相应时期分别定位1和4个条件QTL,可分别解释该时期株高动态变异的13.33%和44.47%。",调控,条件QTL,32,灌浆期,20
"雄穗主轴长在正常环境下被检测到2个QTL位于第2和第6连锁群上,在干旱胁迫环境下被检测到了3个QTL分别于第2、4和10连锁群上,其中位于第2染色体上的QTL是两种环境下所共同检测到的QTL。",影响,正常环境,6,雄穗主轴长,0
"﻿利用花粉管通道法将以玉米DNA导入水稻品种‘龙粳4’中,以提高水稻的光合效率。对生育中、后期叶绿素a、b和叶绿素含量、净光合速率、DNA差异、过氧化物酶及脂酶同工酶电泳和农艺性状的研究表明:与受体相比,外源DNA导入引起变异后代在生理、DNA、蛋白质和形态性状上发生改变,从而引起光合特性表现不同程度的变异。",表现,水稻品种‘龙粳4’,18,净光合速率,61
"对小区产量而言,各效应的贡献是显性>显性与环境互作>加性与环境互作>加性;而加性方差分量对总表型变异的贡献为穗行数>穗粒数>百粒重>小区产量。",方法,百粒重,62,加性方差分量,38
"其产量性状的一般配合力较高,特殊配合力低,穗长、籽粒长、穗行数、行粒数等性状的配合力高。",表现,行粒数,32,配合力高,39
"普通玉米胚乳空腔表面积和籽粒体积显著大于其它类型玉米,高油玉米胚乳空腔比表面积最大,甜玉米胚乳空腔比表面积最小,爆裂玉米胚乳体积比最大。",表现,普通玉米,0,籽粒体积,12
"在保持株高、穗位高、生育期等性状在现有水平的基础上,应重点强调在高密度压力下对倒伏株率和空秆率的选择,优先考虑千粒重的增加,其次是行粒数的增加。",影响,高密度压力,32,穗位高,6
"结果表明,218份玉米材料间存在较大的差异,变异系数为6.37%~87.60%,平均变异系数为19.44%;每株穗粗(r=0.5217)、行粒数(r=0.4367)、穗长(r=0.4053)与单株产量呈极显著正相关,穗行数(r=0.3759)、千粒重(r=0.3586)与单株产量呈显著正相关,秃尖长(r=-0.0200)与单株产量呈负相关;通过聚类分析,将所有供试材料划分为四大类群,第Ⅰ大类主要以中晚熟组材料为主,株高高,果穗粗,行粒数多,单株产量高;第Ⅱ大类主要以生育期长为主,千粒重较重,单株产量较高;第Ⅲ大类主要是中熟材料,茎秆细,秃尖小,穗轴细;第Ⅳ大类主要为早熟材料。",影响,行粒数,69,单株产量,96
"研究采用玉米开花期干旱胁迫法,以经济产量为主要性状,结合株高、穗位高、雄穗长、雌穗长、秃尖长、穗行数、行粒数、穗粒数、千粒重、ASI等形态生育性状,用抗旱性指数(DRI)作为玉米种质资源耐旱性鉴定与评价的主要指标,对24份玉米自交系的耐旱性做了鉴定与评价。",方法,株高,28,干旱胁迫法,9
结果表明:甜玉米产量与各产量性状关联度的大小顺序为行数、穗粗、穗位高、行粒数、穗长、粒深、株高、秃尖;9个自交系可归为5类;组合中2JP233×农111、150B×中2JP233、中2JP233×引8-111、228×150B、228×大28-2、228×JP3为第一等级组合。,表现,自交系,53,甜玉米产量,5
"结果表明,玉米穗总重性状在2个组合中均表现为以主基因遗传为主,2对加性-显性-上位性主基因+加性-显性-上位性多基因遗传。",调控,上位性多基因,52,总重性状,8
"﻿利用农大高诱1号对玉米不同种质类群S1代进行单倍体诱导,结果表明:不同种质类群平均单倍体诱导率为3.2%,不同类群间存在显著差异,对Lancaster群授粉所产生的群单倍体诱导率最高为4.6%,比Reid、唐四平头和旅大红骨类群诱导率高,达到5%显著水平,对热导地方种质群最低为1.8%,达到1%极显著水平。",表现,旅大红骨类群,109,诱导率,45
"结果表明:1)干旱胁迫下,3份不同株型基因型的叶长、叶宽、叶面积及叶夹角均显著减少,叶形系数和叶向值均显著增大,平展株型基因型TS141的6个株型性状较紧凑株型基因型廊黄和昌7-2变化更大;2)干旱导致3份不同株型基因型的上/下表皮气孔个数趋于增多,上/下表皮气孔长度和宽度趋于缩短,TS141的上/下表皮气孔个数均有较大的增多,上/下表皮气孔长度和宽度均有较小的降低;3)干旱胁迫后,TS141的叶绿素a、b、(a+b)含量及叶绿素a/b均明显下降,廊黄和昌7-2的叶绿素a/b均有较小地上升,其余3个性状均有较小地下降;4)干旱条件下,3份不同株型基因型的气孔导度、净光合速率、叶片温度、蒸腾速率和RuBPCase活性均有不同程度地减少,胞间CO2浓度均有不同程度地升高,与TS141相比,廊黄和昌7-2变化的幅度更小;5)干旱处理后,3份不同株型基因型的单株产量、单穗重、穗粒重、百粒重、穗长及出籽率均显著下降,对TS141的影响程度远大于廊黄和昌7-2;6)主成分PCA分析和热图Hierarchical clustering分析表明,干旱胁迫下玉米这些性状间的关系较为复杂,彼此相互关联,这",影响,干旱条件,264,蒸腾速率,296
"在3个超甜玉米测验系中,B1的综合指数最低,B3最高;在20个被测系中,A12、A3、A9、A13、A19、A18、A1、A20、A16和A10的GCA和综合指数较高,A11的综合指数不高但茎粗的GCA效应值最大,穗位高的GCA效应值较小;组合B3×A3、B3×A20、B2×A8、B3×A5和B3×A4的综合性状表现较好,组合B3×A8、B3×A7、B3×A6、B2×A3、B3×A9、B3×A16、B3×A17和B1×A20几乎所有性状的SCA均为负值,可利用价值不高;出苗至吐丝天数、穗位高、穗粗、穗行数和小区产量的广义遗传力和狭义遗传力均超过50.00%,而株高、茎粗和穗长的狭义遗传力均低于35.00%。",表现,B3×A5,141,综合性状表现较好,153
"结果表明:株高、叶夹角、穗长、穗粗、秃尖、结实长、穗行数、行粒数、容重、子粒长、子粒厚11个性状的遗传符合加性-显性模型,穗粗、穗行数、容重、子粒长、子粒厚以加性效应为主;穗位、百粒重、子粒宽的遗传符合加性-显性-上位性模型,其中子粒宽以上位性效应为主;除容重、子粒厚外,各性状的显性方向为正向显性;除子粒宽、子粒厚外,各性状还受到细胞质效应的影响;狭义遗传力排序为子粒长>子粒宽>容重>穗行数>穗粗>子粒厚>百粒重>株高>穗位>叶夹角>穗长>秃尖>结实长>行粒数。",方法,叶夹角,8,狭义遗传力,175
"结果表明:(1)在花期水分胁迫下,不同基因型玉米都表现出株高、单株叶面积、叶绿素等指标的下降,且下降的幅度不同。",调控,基因型,19,单株叶面积,31
"在施氮(+N)和不施氮(-N)两种条件下对群体进行了鉴定,利用近红外反射光谱(NIRS)方法测定了群体子粒的蛋白质、淀粉、油分和赖氨酸含量。",方法,油分,61,近红外反射光谱(NIRS)方法,31
"其中,群体EP7、EP8、EP15、EP23表现为抗病,占供试材料的20%;群体EP1、EP9、EP12、EP16、EP21表现为中抗,占25%;感病群体11个,占55%,但发病率均小于21%,表明供试群体均对玉米丝黑穗病具有一定的抗性,在抗病育种中可选择利用。",表现,感病群体,73,发病率,87
"﻿为通过分子标记辅助选择培育聚合多个抗大斑病基因的玉米品种,以自选系旅958和外引系AM293为亲本,构建了1个包括248份F2∶3家系的分离群体,通过对作图群体人工接种大斑病菌叶片残体,同时利用SSR分子标记通过毛细管电泳绘制作图群体的遗传连锁图谱,利用完备区间作图法对控制玉米大斑病的抗性基因进行QTL定位,结果共检测到4个玉米大斑病抗性QTL,分别位于1、2和8号染色体,其中3个QTL与前人定位的结果一致。",可视化,毛细管电泳绘,107,遗传连锁图谱,119
"湘康玉2号综合性状优良,品质优,全籽粒含蛋白质10.15%;产量高,2007~2008年参加湖南省杂交玉米区试,平均产量7851.0kg/hm2,比CK临奥1号增产9.60%;抗病,抗性鉴定高抗大叶斑病、抗小叶斑病、高抗茎腐病、中抗纹枯病;株型半紧凑,抗倒伏、抗倒折。",表现,湘康玉2号,0,抗病,88
"﻿玉米自交系是选育杂交种的基础材料,它的农艺性状和配合力是决定杂交种高产稳产的重要基础。",表现,杂交种,9,稳产,36
"﻿穗部性状是影响玉米产量的重要性状,一般配合力是评价玉米自交系利用价值的重要指标。",表现,玉米自交系,26,穗部性状,1
"结果表明:穗行数、秃尖、行粒数、穗粗和籽粒产量的遗传主要是加性效应,而株高、穗位高、穗长的遗传更易受环境因素的影响。",影响,环境因素,50,株高,35
"叶形系数、叶夹角的遗传符合加性遗传模型;叶向值、雄穗分枝数符合加性显性遗传模型,前者为部分显性,减效等位基因显性,后者为超显性,增效等位基因显性;叶面积的遗传受加性上位性效应控制。",方法,加性显性遗传模型,31,叶向值,20
改良自交系主要性状变化表现为生育时期延后、单株产量增加。,表现,改良自交系,0,单株产量增加,21
"﻿以籽粒性状差异明显的自交系组配的6个世代为试验材料,采用主基因+多基因遗传模型对籽粒长度、籽粒比重、籽粒鲜干重差值(HKWI)等3个籽粒性状进行了遗传分析。",方法,籽粒鲜干重差值,51,主基因+多基因遗传模型,29
"在正常水分灌溉和干旱胁迫下对穗长、穗粗、轴粗、穗行数、行粒数、穗粒重和穗重等7个穗部性状进行了表型鉴定,采用基于混合线性模型的单环境分析和相同处理水平的联合分析方法进行了QTL分析。",可视化,联合分析方法,76,QTL分析,85
"在耐光氧化方面,转PEPC基因Kitaake明显优于Kitaake。",表现,转PEPC基因Kitaake,8,耐光氧化,1
"研究采用玉米开花期干旱胁迫法,以经济产量为主要性状,结合株高、穗位高、ASI、有效穗数、穗粒数、千粒重等形态生理性状,用抗旱性指数(DTIg)作为玉米种质资源抗旱性鉴定与评价的良好指标,对国家种质库内的454份玉米种质的抗旱性做了鉴定与评价。",表现,玉米,4,性状,23
"﻿采用基因型×环境互作效应的加性-显性-母体遗传模型(ADM模型)分析方法,研究玉米穗位高性状遗传主效应及其与环境互作遗传效应。",方法,基因型×环境互作效应,3,ADM模型,27
"育种中根据亲本穗位高在不同环境中遗传效应预测值组配杂交组合,提高玉米穗位高性状的选择效率。",表现,穗,7,位高性状,35
"在3个生态环境中,河南省环境胁迫性最强,入选果穗最少,入选果穗平均单穗粒重最低,对玉米植株与产量间接相关的抗性选择更有利;吉林省和北京则入选果穗多,入选果穗的平均粒重相对较高,对玉米产量直接性状选择更为有效。",方法,环境胁迫性,12,生态环境,3
"结果表明,鉴定单隐性基因控制该表型;突变体不同时期光合速率同比增大,干物质积累快;其抗旱能力下降但蛋白质、淀粉和脂肪含量上升;通过基因表达量分析结果显示玉米在拔节期光合、细胞分解的相关基因处于高表达状态。",表现,突变体,18,不同时期光合速率同比增大,21
"玉米突破性高产育种应加强种质的创新与改良,注重穗长、穗行数、子粒深度、行粒数和出籽率的选择,并把遗传改良的重点放在穗长上。",表现,玉米,0,出籽率,39
﻿利用DH1M×T877衍生的180个玉米RIL家系在正常水分和干旱条件下对苗期主胚根长、种子根长、种子根数、节根夹角、节根直径、节根根长和节根数7个根系性状进行QTL分析。,影响,正常水分,27,节根直径,60
﻿粤农90-137是采用早熟、优质单交种京黄127与自选自交系89b-1杂交育成的中早熟、优质、丰产、耐寒、多抗、广适的玉米三交种。,表现,粤农90-137,1,广适,57
