sentence,relation,head,head_offset,tail,tail_offset
"利用微卫星标记将qHD-3-1定位于3号染色体短臂,PSM304和RM569分别位于其两侧,遗传距离分别为2.4cM和5.1c",方法,微卫星标记,2,3号染色体短臂,18
"﻿研究分析了1981~2003年江苏省迟熟中粳稻区域试验资料,结果表明:(1)品种整体产量水平明显提高,目前品种整体产量水平达到600kg/667m2以上;(2)农艺性状得到明显改良,每穗粒数增加,穗型由弯曲穗逐步过渡到半直立穗、直立穗,着粒密度提高,同时有效穗数下降,提高了品种群体的光能利用率;(3)品质改良效果不明显,品种的外观品质和食味较差;(4)整体抗性水平无明显提高,对稻瘟病、纹枯病和条纹叶枯病的抗性水平较差,近年来条纹叶枯病的危害尤其严重。",单位,整体产量水平,41,m2,73
"③1995~1999年选育的孕穗开花期耐冷性近等基因系(NILs),与轮回亲本的农艺性状相似,但耐冷性指标性状存在明显差异,遗传分析表明该基因也为1对主效基因",影响,开花期,16,耐冷性,19
"结果表明,5项食味品质指标在不同基因型、地点和年份间的差异以及G×E互作方差都达到极显著水平(P<0.01);不同栽培方式也能显著地影响稻米食味品质,且对各项食味指标的作用方向完全一致,即绿色食品栽培>有机栽培>常规栽培>高产栽培;粳稻品种的食味品质及其稳定性整体上要优于籼稻品种,其中食味品质好且稳定性高的籼、粳品种有W002、早丰九号、武育粳3号、广陵香粳、盐粳5号、3004、丰优香占、R405和南京16号",表现,3004,186,食味品质,7
"根据植株的农艺性状和叶绿素含量,以及虫害发生动态变化,笔者推测,造成叶色标记水稻稻纵卷叶螟危害变轻的原因可能与植株叶绿素含量下降,影响幼虫生长发育有关,但引起白背飞虱虫口增加的原因尚需进一步研究。",影响,叶绿素含量下降,57,卷叶螟危害变轻,42
"Clpxoo序列N端具有环化核苷酸cNMP结合结构域(CAP-ED),C端具有保守的DNA结合结构域(HTH-CRP)。",表现,Clpxoo序列,0,环化核苷酸cNMP结合结构域,12
"除胚乳性状差异显著外,嘉农wx6A与中9A生育期相同,且农艺性状、穗部性状、花器性状、花粉不育特性和配合力均十分相似。",表现,中9A,18,生育期相同,21
"该不育系育性稳定,农艺性状优良,开花习性好,配合力强,米质较优。",表现,该不育系,0,农艺性状优良,9
"﻿应用168个DNA标记,对水稻中156(高产)×谷梅2号(低产)的重组自交系(RIL)群体进行基因型检测,构建了全长为1447.9cM、覆盖水稻基因组12条染色体的连锁图",单位,基因型检测,48,cM,66
"﻿金早6号雄性不育材料杂交后代的遗传观察表明,金早6号雄性不育性属单基因隐性遗传",调控,单基因,33,不育性,29
"﻿对华南稻区不同类型超级稻早、晚季秧苗期的形态特性作了比较研究,结果表明,在华南稻区早、晚季生态环境下,供试材料间植株高度、主茎叶片数、单株茎数、叶鞘基部宽度的差异均达极显著水平.这些性状可作为华南双季超级稻动态株型育种中秧苗期(早季30d、晚季18d)理想形态性状指标,即:早、晚季植株高度分别为350~375cm、335~355cm;早、晚季单株茎蘖数分别为20~30、30~32条/株,早、晚季主茎叶片数分别为58和49片,早、晚季叶鞘基部宽分别为071和051~054cm",影响,晚季生态环境,44,植株高度,57
"﻿籼稻品种Dular在低温条件下幼苗会表现失绿.前期遗传研究表明,这种低温失绿的表型是由一个隐性基因控制的,该基因初步定位在第9染色体长臂的SSR标记RM257和RM242之间,将该基因暂命名为cisc(t).本研究在前期初步定位的基础上,利用粳稻品种Lemont(低温条件下幼苗表现正常绿色)与Dular杂交,构建了一个很大的F2群体,将cisc(t)基因精细定位在一个12kb的区间内.该区间只含有一个注释基因,编码一个三角状五肽重复区(PPR)蛋白.测序结果表明,Dular在该基因的第60位碱基处缺失了8个碱基,造成移码突变而失去正常功能.这与Dular表现白化突变表型相吻合.而且,前人研究表明,许多植物的幼苗失绿突变性状与PPR蛋白有关.因此,将该基因确定为cisc(t)的候选基因.",调控,PPR蛋白,317,幼苗失绿突变性状,308
"(2)亲本品种及其组合随海拔升高,株高、穗长、每穗实粒数和颖花数有增大的趋势,但结实率则相反;杂种后代主要经济性状SCA的不同稻区及不同世代的差异与亲缘关系的远近密切相关,稻作育种目标应根据不同稻作区而",影响,海拔,12,株,17
"其中,以基因型效应为主的性状为零;以环境效应为主的有产量、株高、有效穗、生育期、穗长和穗总粒数;以基因型与环境间互作效应为主的有结实率、穗实粒数和千粒重。",影响,环境效应,18,穗长,40
"20%香蕉泥和20%雪梨汁强烈抑制无菌秧苗的生长发育,前者使转接材料全部死亡,后者导致约40%的材料死亡",影响,雪梨汁,10,生长发育,22
﻿在昆明低温冷害条件下对十和田×(十和田5/昆明小白谷BC4F5)的BC5F2群体进行了耐冷性状的遗传研,表现,BC5F2,34,耐冷性状,44
"﻿以安农S-1为不育基因供体,通过杂交、复交导入常菲22B和Lemont优质、多抗等优良性状,并累加培矮64S优良株叶形态基因,经多年系谱选择和测交筛选,育成具有广泛生态适应性的水稻光温敏不育系Y58",方法,系谱选择,67,基因,10
"其中播始历期、株高、每穗总粒数、着粒密度、单株草重、谷草比、生物产量等性状以基因加性效应为主,有效穗、结实率、千粒重等性状则以基因的非加性效应为主",调控,基因,38,有效穗,47
"﻿用包括基因型×环境互作效应的加性—显性—加性×加性上位性遗传模型和统计方法,对水稻茎秆抗倒性杂种优势进行了研究.结果表明,评价水稻茎秆抗倒性的5个性状(秆长、茎粗、茎基抗折力、秆型指数和抗倒指数)的杂种优势既由基因型控制也受环境(年份)互作效应影响.茎粗对环境的敏感性较弱,表现较低的正向群体平均优势和负向群体超亲优势.基因型×环境互作效应影响了秆型指数和抗倒指数杂种优势表达的程度和方向.秆长、茎基抗折力在不同环境中均表现正向基因型×环境互作效应,这表明随着环境的改善均可增强杂种优",调控,基因型,4,抗倒,44
"﻿本研究建立了一套简便、行之有效的水稻成熟花粉辐照诱变技术的工作程序,解决了水稻成熟花粉保鲜的技术难关,提出了水稻成花粉适宜诱变剂量为46Gy左右,确认了辐照花粉杂交后代以产生数量性状突变为主,第三代较第二代出现更多的突变性状,扩大了突变幅度,而且随着世代的递增,突变性状有累加的现象,大部分株系在第五代即可稳定",单位,诱变剂,62,Gy,69
"﻿本研究以籼粳交“密阳23/吉冷1号”的F2∶3代200个家系作为作图群体,在自然和12℃冷水胁迫下,进行水稻幼苗期根系性状鉴定,并以利用SSR标记构建的分子连锁图谱为基础,对水稻幼苗期的根数、最大的根长、最大根的根径、根干重、根/苗比等根系性状进行了数量性状位点(QTLs)分",影响,自然,39,最大根的根径,103
"﻿利用粳稻Lemont导入籼稻特青背景构建的高代回交导入系和重组自交系群体,在北京和海南两地检测影响株高和剑叶宽的稳定表达的主效QTL,分析这些主效QTL在导入系和重组自交系群体的不同选择强度(5%、10%和20%)的极端群体中的等位基因偏离,研究不同性状的主效QTL对不同选择强度的响应及不同遗传结构群体对主效QTL人工选择响应的影响。",调控,QTL,64,株高,50
"该套渗入系覆盖了整个旱稻毫格劳基因组,标记间平均距离为8.37cM,覆盖水稻基因组1566cM,90.5%的渗入片段长度集中在10~20cM之间,单个最小渗入片段长度为1cM,渗入片段平均长度为13cM。",单位,平均距离,22,cM,31
利用一个水稻籼粳交(窄叶青8号/京系17)来源的DH群体对水稻柱头外露率、花柱长、柱头长、柱头宽、花药长、花药宽、颖花长、颖花宽和颖花长宽比9个花器性状和穗抽出度进行遗传分析,表现,DH群体,24,穗抽出度,77
"﻿利用广谱高抗褐稻虱的药用野生稻(CC染色体组)与感虫栽培稻(AA染色体组)品种进行远缘杂交,通过幼胚培养获得绿苗,经过4代回交和4代自交,成功地将抗性基因转移到栽培稻中,获得了高世代B4F4株系",表现,药用野生稻(CC染色体组),11,广谱高抗褐稻虱,3
"﻿水稻叶片形态相关突变体的挖掘是进行水稻功能基因组学研究和株型改良的重要基础.本研究从60Co-γ辐射的籼稻粤丰B后代中鉴定一个卷叶突变体,命名为rl11(t),该突变体表型为株高降低、叶片卷曲变窄、叶脉数目减少且发育异常,同时对生长素的敏感性降低.遗传分析表明,该突变性状受一个隐性单基因控制.利用SSR标记将卷叶基因定位在位于水稻第4染色体上RM6089和RM124之间,在该基因附近区域发展了32对新的STS标记,将Rl11(t)精细定位在BAC克隆AL606645上STS4-25和STS4-26之间,物理距离约为31.6kb,为最终克隆目标基因奠定了基础.",表现,突变体,9,发育异常,107
﻿对万年贡米、赣优晚、南城麻姑米、井冈红米、油粘子等名优水稻品种的6个特异品质性状(胚乳淀粉粒径、脂肪含量、游离氨基酸总量、蛋白质含量、赖氨酸含量及米粒延伸率)按Griffing方法1固定模型进行了配合力分析,表现,万年贡米,2,脂肪含量,49
"eui基因对杂交稻群体生长率增加的作用主要是在生长前期和中期,且以eui1基因的作用最为显著",表现,杂交稻,6,群体生长率,9
恢复系的遗传效应对杂交组合茎秆抗倒性起主要作用。,表现,恢复系,0,茎秆抗倒性,13
"水分胁迫使稻米粒长、粒宽变小,长宽比增大,垩白率减少。",表现,稻米,5,垩白率减少,21
"﻿以选育时期不同(两个选育时代)的12个水稻品种为材料,于施氮量为0,225,300kg/hm2纯氮大田条件下,研究了不同氮肥水平下两选育时代的水稻品种产量、物质生产积累量及氮素吸收、利用效率的差异。",影响,不同氮肥水平下,59,氮素吸收,87
"广泛开展特种稻资源的特殊性状鉴定和评价,筛选具有独特特性的优异种质资源,并进行基因型检测与遗传多样性分析和核心种质构建;将多个特殊性状相聚合,创新赖氨酸、微量元素、维生素等含量较高,黄酮、花青3葡萄糖苷、生物碱等生理活性物质含量较高的水稻种质是今后我国特种稻资源研究的重要内容",调控,维生素,82,含量,86
"﻿本文从水稻抗旱性、根系形态性状、生理性状等方面,介绍了近年来水稻抗旱性及相关性状的数量性状基因定位(Quantitative trait loci,QTLs)的研究进展,并比较了不同群体和环境条件下所定位的抗旱性相关性状的QTLs位点、标记及其在染色体上的分布和特点,同时对水稻抗旱性相关性状QTLs的比较基因组学研究及应用基因工程进行水稻抗旱性研究进行了阐述",调控,QTLs,75,性状,14
"﻿""参与全球水稻分子育种计划""项目实施10年,从引进国外优异种质资源,积极参与国际合作计划着手,联合国内不同稻作区的数10家科研单位,围绕培育绿色超级稻的长远目标,在国内形成了水稻分子育种协作网络,基本建立起我国水稻分子育种的资源、技术和信息平台,筛选和构建了一批高产、优质、抗病虫、节水抗旱、耐高低温、氮磷肥高效利用的种质资源,育成了一批具有绿色超级稻性状的水稻新品种(系)。",表现,绿色超级稻性状的水稻新品种(系),172,耐高低温,147
"结果表明,新质源杂交稻的千粒重和粒长的遗传主要受加性效应控制,它们的狭义遗传率较大且均达极显著水平,在早代对这2性状进行选择可达到较好的效果,而粒宽、长宽比各项遗传方差分量均不显著。",表现,新质源杂交稻,5,极显著水平,44
"结果表明:随着品种更替,一次枝梗数、一次枝梗颖花数、二次枝梗数和二次枝梗颖花数等穗部性状均呈增加趋势;超高产品种在各个性状上都有所改进,并且结实率较高,使得其每穗实粒数显著高于其他品种,说明各穗部性状的均衡增加是超高产的有效途径",表现,超高产品种,51,性状,42
"SP2代群体的单株间主要农艺、经济性状出现了强烈的后代分离,变异频率高达4.09%。",表现,SP2,0,主要农艺,10
"本项研究结果表明,利用空间诱变创造新恢源和改变粳稻亲和性,克服籼粳杂种F1的不孕性和籽粒充实度差的难题,是一条可行的新途径",表现,籼粳杂种F1,31,不孕性,38
"﻿用bar基因通过基因枪法轰击春江03粳、嘉59、武育粳3号等未成熟胚,得到抗除草剂Basta转基因株,经加代和选育获得抗除草剂的直播稻品系TR3,TR5和TR8,对转基因株后代(T1,T2)和TR3,TR5,TR8的遗传分析表明,其抗除草剂特性均由一对显性基因控制,符合孟德尔遗传规",表现,TR3,70,抗除草剂特性,117
初步选出一些抗病性好及经济性状好的新抗病品系,表现,抗病品系,18,抗病性,6
提出了水稻超高产生理育种要加强产量及其相关生理性状在细胞水平生理过程和形态水平目标性状的构成相互关联的研究,表现,水稻,3,产量,15
柱头外露率高的基因型通常表现为长柱头、长粒型和长花柱花药长、花药宽与上述花器性状间的相关性较弱,调控,基因型,7,花器性状,37
"如控制水稻主茎总叶片数的一个主效QTL,即QL n3,它同时影响分蘖期出叶速率、抽穗期及株高等数量性状",调控,QL n3,21,株高,44
"﻿以协青早e A(2)(含有eui2基因)、协青早A、-32e A(1)(含有eui1基因)及-32A为母本,以明恢63、明恢86、皖恢57及密阳46为父本,按p×q模式配置了16个杂交组合,研究了e-杂交稻的株型、产量构成.结果表明,e-杂交稻具有与原杂交稻相近的株叶形态、生育期及产量水平;但因含有eui基因,具有其特有的生物学特性,植株生长较繁茂,各个生育期的植株高度略有增加,分蘖数、有效穗数、穗粒数略减少,结实率略降低,千粒重增加.统计分析表明,e-杂交稻与原杂交稻各性状间的差异都不显著.构成产量的4个要素对原杂交稻产量的直接效应为:穗粒数>有效穗数>千粒重>结实率,而e-杂交稻直接效应为:穗粒数>结实率>有效穗数>千粒重",方法,千粒重,215,直接效应,267
"为剖析不同抗性类型基因之间的关系,利用回交重组自交系群体Nipponbare/Kasalath//Nipponbare分析了对条纹病毒和介体灰飞虱抗性的数量性状基因",影响,条纹病毒,63,基因,9
"﻿根据以籼稻(Oryzasativassp.indica)品种IR24为遗传背景的粳稻(O.sativassp.japonica)品种Asominori基因渗入系与IR24回交F1在多年、多点杂种优势的表现,筛选出1个强优势组合和1个弱优势组合,其杂种优势的差异主要来源于每穗实粒",表现,籼稻(Oryzasativassp.indica)品种IR24,4,强优势组合,109
"可见在粳稻育种南繁加代时,对株高、剑叶长、主穗总粒数、结实率等性状应加强选择压,但对生育期选择,切忌简单",表现,粳稻,3,主穗总粒数,21
"﻿以具有广泛代表性的7个不育系和9个恢复系为材料,采用NC交配设计研究了11个米质性状的配合力和遗传力的表现规律,以期为优质杂交稻育种提供理论参考,结果表明:1)无论是亲本的一般配合力,还是组合的特殊配合力,对杂种所有米质性状均有显著的影响,但在不同米质性状上一般配合力和特殊配合力的作用大小不同.整精米率、精米长、长宽比、垩白粒率、垩白大小、糊化温度和直链淀粉含量等性状以加性效应占主导地位,而糙米率、精米率、胶稠度和蛋白质含量等性状则以非加性效应更为重要.2)11个性状中,有7个性状受母本影响比父本大得多,3个性状父、母本效应相当,仅1个性状(垩白粒率)受父本影响较大.3)对主要米质性状的综合评价表明,不育系中以金23A,优IA和-32A为优,恢复系中以207和桂99最好,明恢63和288次之,用上述亲本选配的优质杂交组合米质较好.4)各米质性状狭义遗传力大小依次为:长宽比、精米长、糊化温度、直链淀粉含量、垩白粒率、垩白大小、整精米率、糙米率、蛋白质含量、精米率、胶稠度.其中长宽比至垩白大小等性状由于狭义遗传力高,在亲本改良中,可在杂交早代选择,而胶稠度等其他性状因遗传力较低,不宜在低世代进行选择",方法,胶稠度,206,非加性效应,220
"﻿采用包括基因型×环境互作效应的加性—显性—加性×加性上位性遗传模型,分析了水稻剑叶面积(FLA)、倒二叶面积(2LA)、倒三叶面积(3LA)和比叶重(SLW)的2a资料.结果表明,这4个性状的遗传主要受显性效应及其与环境互作效应的控制,加性×加性上位性效应对其表现有一定影响.加性效应对SLW也有重要作用.加性与环境互作效应对2LA和3LA以及加性×加性上位性与环境互作效应对FLA和SLW的影响较小.遗传率分析表明各性状的普通狭义遗传率依次为SLW>FLA>3LA>2LA.遗传效应预测值结果表明,IR66158-37和IR65600-85具有使杂交后代增加SLW的遗传效应,明恢63在改良冠层叶面积中受环境的影响程度较小,认为这3个品种是超高产新株型育种的优良亲本材料.",调控,加性,16,2LA,56
"其中株高、粒长、粒宽、长宽比、每穗总粒数、着粒密度、结实率等性状以基因加性效应为主,单株有效穗、主茎剑叶长,穗长、每穗实粒数、千粒重、单株产量、相对日产量等性状则以基因的非加性效应为主",调控,基因,33,相对日产量,72
"﻿在根瘤菌与宿主豆科植物形成的共生关系中,根瘤菌分泌的结瘤因子是宿主专一性的主要决定因子.结瘤因子信号能够诱导豆科植物根毛细胞质膜去极化、离子流动和早期结瘤素基因的表达以及根毛变形、皮层细胞分裂和根瘤原基形成等与共生有关的表型变化.水稻是重要的粮食作物,能否对结瘤因子信号产生应答反应是最终实现水稻结瘤固氮的关键因素.将大豆早期结瘤素基因Gmenod2B的启动子与报告基因β-葡萄糖苷酶(GUS)基因融合构建成嵌合基因Gmenod2Bp-GUS,以此嵌合基因作为探索水稻细胞感受结瘤因子信号的分子标记.通过根癌农杆菌介导的遗传转化系统,获得了携带嵌合基因Gmenod2Bp-GUS的水稻再生植株.以广宿主根瘤菌NGR234(pA28)分泌的结瘤因子作为探针,检测转基因水稻中嵌合基因Gmenod2Bp-GUS的表达.结果表明,转基因水稻中大豆早期结瘤素基因enod2B启动子的表达可以受结瘤因子诱导,仅在水稻根部的皮层薄壁细胞和内皮层细胞中呈特异性表达,并且受到氮源的调控.推测在水稻中可能存在结瘤因子所诱导的豆科早期结瘤素表达的类似机制.",表现,豆科植物,8,根毛变形,86
稻米品质一般受主效基因加微效基因控制,调控,微效基因,12,稻米,0
"﻿采用5×5不完全双列杂交设计,应用包括基因型×环境互作效应的三倍体种子性状遗传分析模型,研究3种栽培季节下籼型杂交稻碾磨品质性状的遗传.结果表明:杂交稻碾磨品质性状表现主要受遗传控制,遗传方差可解释表型方差的66.8%-98.6%,且遗传效应均以母体加性效应为主;基因型×环境互作效应对糙米率和精米率的影响较小,但整精米率的互作效应值达33.2%;3个碾磨品质性状均不存在杂种优势.比较亲本对杂种碾磨品质影响的结果表明,不育系对杂交稻碾磨品质的影响显著大于恢复系",表现,不育系,211,整精米率,158
"在同源四倍体水稻IR36(4)和IR28(4)的变异群体内分别发现22株和14株结实率均达到75.0%以上的单株,其中在IR36(4)群体内有1单株的结实率高达91.89%;在紫血稻(4)的变异群体内发现2株具有双胚苗性状的单株;在二倍体水稻明恢63(2)的变异群体内发现1株具有红心米性状的单株",表现,同源四倍体水稻IR36(4),1,结实率,40
"稻米淀粉RVA谱特征值中,卷叶组合的最高粘度、热浆粘度和崩解值均大于其对应组合,其他性状指标值在对应组合间的差异表现趋势不一",方法,热浆粘度,23,RVA,4
"﻿宜DS在广州观察了两年,结果表明:它具有短光低温诱导不育长光高温诱导可育的特性,农艺性状处于籼粳之间,遗传基础比较复杂,欲转育稳定的不育系可能要较多的世代.在杂交稻华南双季制种区,低温诱导不育可以有效地抑制早晚稻在孕穗期因冷空气引起不育系的不育性改变,能保证双季制种成功.这一种质的利用,有可能使华南两季杂交稻育种发生较大的变革.",表现,早晚稻,104,不育性,121
"﻿通过花粉管通道法实现了水稻与菰属间的性状转移,获得了可遗传的转基因水稻种子.所获得的转菰基因后代性状变异深刻、类型丰富,多种数量性状改良明显,得到部分形态、生育及经济性状方面有价值的材料.这些材料可望填补水稻种质资源的一些空白,而且部分材料已在多抗、高产、优质育种上初见成效",表现,转菰基因后代,43,性状,19
"﻿在水稻(Oryza sativa)缙恢10号的EMS诱变群体中发现一个窄叶突变体nal(t),表现出叶片变窄不变短、植株半矮化、节间变细变短和穗长缩短等特性。",表现,一个窄叶突变体nal(t),34,植株半矮化,59
"玉香A属中熟早籼类型,株型紧凑,茎秆粗壮,叶鞘、稃尖均无色;不育性稳定,群体不育株率100%,花粉不育度99.99%,套袋自交结实率为0.025%;品质性状好,米粒香味纯正;开花习性好,易于繁殖制种;配合力强,利用该不育系已选配出农平302、农平202等优质高产新组合",表现,玉香A属,0,品质性状,74
"通过通径分析表明生育期、株高、穴穗数、穗实粒数、千粒重这些性状对产量的影响,生育期是主要的",方法,株高,12,通径分析,2
"表明分子标记改良蜀恢527对白叶枯病的抗性是成功的,是一种有效的育种方法",影响,白叶枯病,14,抗性,19
"﻿用包括基因型×环境互作效应的加性—显性—加性×加性上位性遗传模型和统计方法,对水稻茎秆抗倒性杂种优势进行了研究.结果表明,评价水稻茎秆抗倒性的5个性状(秆长、茎粗、茎基抗折力、秆型指数和抗倒指数)的杂种优势既由基因型控制也受环境(年份)互作效应影响.茎粗对环境的敏感性较弱,表现较低的正向群体平均优势和负向群体超亲优势.基因型×环境互作效应影响了秆型指数和抗倒指数杂种优势表达的程度和方向.秆长、茎基抗折力在不同环境中均表现正向基因型×环境互作效应,这表明随着环境的改善均可增强杂种优",影响,年份,116,秆型指数,89
"该恢复系形态性状优良、茎秆粗壮,恢复力强、恢复谱较广、配合力特性好,花粉量多、制种产量高",表现,恢复系,1,性状,6
"因这两种“不育”均非不育基因作用,实质上应是败育",调控,不育基因,10,不育,5
"与不同恢复系配组,F1代表现一般配合力强,可恢复性好。",表现,F1,9,配合力强,16
"﻿以包括籼粳、新老不同的类型92个水稻品种为试材,研究了稻谷粒形性状与品质性状的关系",表现,水稻品种,17,新老,7
"这种来自粳/籼四倍体杂种的双单倍体育性和结实率明显不同于粳籼杂种(F1)及后代(F2)和杂种体细胞再生植株(R1),这种双单倍体的育性、结实率百分之六十以上的植株是正常的",表现,粳/籼四倍体杂种的双单倍体,4,结实率,20
"在成功利用分子标记对直链淀粉含量进行辅助选择改良的基础上,结合田间选育的手段,同时改良了不育系穗小粒少的缺陷,既保持了原组合的优良特性,又提升了米质和产量潜力。",影响,田间选育的手段,31,不育系穗小粒少,44
"与D57B相比,高光A植株稍矮且剑叶变长,有利于授粉(受精),提高杂种结实率和获得饱满的杂交种子,但种子萌发稍慢,其他农艺性状与D57B相仿。",表现,高光A植株,8,提高杂种结实率,31
"﻿簇生穗突变体Cl表型为多数枝梗顶端有2或3个小穗簇生在一起.利用扫描电子显微镜观察显示,Cl的功能与水稻枝梗顶部的发育有关,同时Cl影响了顶端小穗的伸长;而Cl突变体中穗粒数有一定降低,提示Cl基因可能对水稻穗粒数也有一定的影响.分别利用Cl与中花11及Cl与浙辐802杂交的F2群体对Cl位点进行遗传定位,Cl位点初步定位在第6染色体的CAPS标记CK0214和SS0324之间.为了进一步精细定位Cl位点,在CK0214和SS0324之间发展了5个CAPS标记,连锁分析表明,Cl与其中2个标记R0674E和C12560紧密连锁,遗传距离分别为0.2和2.1cM,并且Cl被定位在这两个标记之间.以此为起点,构建覆盖Cl基因区域的PAC重叠群,两个PAC克隆AP004571和AP004236将Cl位点覆盖,物理距离为196kb,为最终克隆Cl基因奠定了基础.等位性测定显示,Cl与另一个水稻簇生穗突变体Cl2是等位突变.",调控,Cl基因,96,水稻穗粒数,103
"﻿利用高产早稻品系4384和优质早稻品种舟903杂交,杂交后代与4384回交后连续自交,在分离世代利用Wx基因的酶切扩增多态性序列(CAPS)标记选择Wx基因型中具有TT位点的单株或株系,并在田间选择农艺性状",方法,酶切扩增多态性序列(CAPS)标记,56,Wx基因,51
"﻿以6个长穗颈不育系及3个相应原不育系与3个高秆隐性恢复系及其相应的原恢复系为材料,组配成一套9组共36个组合的F1材料.每组的4个杂交稻F1遗传背景一致,但eui基因型不一致,分别带有eui1、eui2基因,同时带有eui1、eui2基因以及不含eui基因.比较了这4种不同eui基因型的杂交稻农艺性状、产量性状及籽粒灌浆的差异.结果表明:e杂交稻同原杂交稻在株叶形态和主要农艺性状上十分相似,但e杂交稻比原杂交稻在株高、穗长、穗颈长、剑叶长、倒二叶长、倒一节间长6个性状上均有较明显的增加,eui基因对杂交稻其它农艺性状影响较小.e杂交稻在产量构成和穗部性状上与原杂交稻相当.不同eui基因的效应以eui1基因较大,eui2基因较小;同时含有eui1、eui2基因的组合表现与仅含eui1基因的组合相似.4种不同eui基因型杂交稻的籽粒灌浆过程相似.",表现,e杂交稻,171,产量,153
"结果表明,糙米率、垩白粒率、垩白面积和直链淀粉含量均存在显著的母体效应与直接效应,垩白面积还存在显著的细胞质效应;优质亲本具有显著降低垩白粒率、垩白面积的直接加性效应与母体加性效应",方法,垩白面积,14,直接加性效应,77
"(4)亲本一般配合力与特殊配合力各性状均是相互独立的,一般配合力与亲本自身的表现型值则有一定的相关性,说明在育种研究中必须注意亲本自身性状的改良",方法,特殊配合力,11,性状,17
"与其他半矮化突变体相比,d11和d24的包穗程度较轻,分别为-2.7和-2.6cm,农艺性状变化较小,有效穗与原始材料相比无变化;缙恢10号对GA3敏感,d9和d18对GA3钝感,d9是全节间缩短型突变体,d18则为顶节缩短型突变体,其平均穗颈长仅为0.31cm,整个穗子被完全包裹在剑叶叶鞘中,包穗度为-24.4cm。",单位,包穗程度较轻,20,cm,39
结果显示:PLM紫叶突变体为隐性单基因遗传。,表现,PLM紫叶突变体,5,隐性单基因遗传,14
"结果表明,(1)源库增量比在水稻品种间存在基因型差异,说明该指标可作为生理育种指标;(2)源库增量比与籽粒充实度及结实率之间存在多项式的关系(P<0.01),表明该指标越接近于1,其籽粒充实度及结实率越高",方法,籽粒充实度,51,源库增量比,8
"(2)不育系×恢复系特殊配合力方差均达到极显著水平,分析结果表明,基因的非加性效应对播始历期和单株有效穗起主导作用,基因的加性效应对株高、穗长、每穗总粒数和每穗实粒数起主导作用,基因的加性效应和非加性效应对结实率、千粒重和单株重等性状的表达均有相对重要的作用。",影响,基因的非加性效应,33,播始历期,42
"结果表明:①美国光身稻具有极强的抗倒伏性;②杂种F1优势十分明显,其中株高及每穗粒数超亲尤为突出;③杂种后代中易获得高抗倒伏、偏大穗的中秆材料;④美国光身稻所携带的半矮秆基因与中国品种可能不",表现,光身稻,8,抗倒伏性,16
"﻿为了加深理解水稻性状相关的遗传基础,用一个以HR5和珍汕97杂交构建的重组自交系群体(F6和F7)检测控制主效QTL和上位性QTL.两年中,5个形态性状,即抽穗期(HD)、株高(PH)、穗长(PL)、剑叶长(FLL)和剑叶宽(FLW)呈现高度的正相关.每个性状检测到4~8个主效QTL.剑叶长、抽穗期、剑叶宽和穗长分别检测到1,4,4和5个双位点互作QTL(E-QTL).除了E-QFll1,每个E-QTL解释性状变异低于3%.对QTL定位结果进行了比对以便剖析性状相关的遗传基础,发现具有多效性的主效QTL和紧密连锁的QTL簇是性状相关的主要遗传基础.没有检测到上位性互作QTL(E-QTL)具有多效性.尽管上位性互作QTL也在单个性状的遗传基础中起重要作用,但对性状相关贡献不大.",调控,QTL,56,穗长(PL),94
"﻿日本优质、耐冷性水稻品种花之舞干种子经50Gy60Coγ射线处理,在M2代群体中选育出茎叶超绿基因突变体绿花舞经多代种植性状稳定,该突变体叶片、叶鞘、穗轴以及果柄均为深绿色,至完熟后仍不变黄",表现,基因突变体绿花舞,48,茎叶超绿,44
"﻿研究了胚乳、细胞质和母体植株遗传效应以及与环境互作效应对籼稻蒸煮食用品质的影响.结果表明:直链淀粉含量、糊化温度主要受遗传主效应控制,同时还受到基因型×环境互作效应的影响,胶稠度则主要受基因型×环境互作效应的影响.3个性状的遗传率均较高,早世代选择有效,但胶稠度以互作遗传率较大.对亲本的遗传效应预测及不同亲本间遗传效应的线性对比结果表明高直链淀粉含量品种对直链淀粉含量和胶稠度的改良不利.对F2稻米杂种优势的预测表明种子直接显性作用对F2稻米蒸煮品质的提高不利",表现,高直链淀粉含量品种,170,直链淀粉含量,46
"该突变体叶片无中脉,颖花内稃比外稃长,内、外稃不抱合,雌蕊同源转化成雄蕊,浆片呈稃片状",影响,叶片,4,内、外稃不抱合,19
"﻿利用水稻籼粳杂交(圭630×02428)F1的花药离体培养建立的一个含81个DH家系的作图群体,对水稻株高构成因素(穗长、第1节间长、……、第5节间长)进行基因定位",表现,作图群体,44,第1节间长,62
"﻿通过辐射诱变获得籼稻保持系龙特浦B巨胚隐性单基因突变体(龙特浦geB),为龙特浦B的巨胚同型系,主要农艺性状无明显差异,但绝对胚重和相对胚重分别由原龙特浦B的063mg和278%提高到115mg和607%,从而糙米粗脂肪含量由250%提高到506%,蛋白质由900%提高到960%,各种氨基酸含量的相对值也相应提高545%~3036%;用龙特浦geB回交龙特浦A育成巨胚不育系龙特浦geA,其与龙特浦A的主要农艺性状、雄性育性特征及构成产量配合力无明显差异",表现,龙特浦A,178,雄性育性特征,210
